,X.1,OBJECTID,Field1,X,Lat,Long,ch4,Date,day,month,year
9,9,9,1941,1941,-19.02840233,-55.43236923,1787.437657,4/24/2009,24,4,2009
14,14,14,1946,1946,-20.91970825,-52.75981522,1767.357124,4/24/2009,24,4,2009
15,15,15,1947,1947,-22.27300835,-53.07329941,1759.968239,4/24/2009,24,4,2009
35,35,35,3010,3010,-18.90268135,-57.34810257,1789.462024,4/25/2009,25,4,2009
39,39,39,3016,3016,-20.22064209,-57.64354706,1767.557974,4/25/2009,25,4,2009
40,40,40,3017,3017,-21.61119461,-57.90826416,1771.424948,4/25/2009,25,4,2009
52,52,52,5244,5244,-17.67550659,-55.10124969,1774.61392,4/27/2009,27,4,2009
57,57,57,5249,5249,-19.56407166,-52.4501915,1756.697327,4/27/2009,27,4,2009
58,58,58,5250,5250,-19.27021408,-53.94797134,1781.338227,4/27/2009,27,4,2009
59,59,59,5251,5251,-19.00304985,-55.45138931,1765.913331,4/27/2009,27,4,2009
60,60,60,5252,5252,-20.37584686,-55.7686882,1757.801424,4/27/2009,27,4,2009
61,61,61,5253,5253,-20.62914848,-54.26999664,1764.781924,4/27/2009,27,4,2009
62,62,62,5254,5254,-20.91819572,-52.75973511,1769.791964,4/27/2009,27,4,2009
65,65,65,5257,5257,-22.27102661,-53.07320404,1769.758122,4/27/2009,27,4,2009
66,66,66,5258,5258,-21.97240829,-54.59894562,1752.179784,4/27/2009,27,4,2009
67,67,67,5259,5259,-21.7002697,-56.13008499,1746.367803,4/27/2009,27,4,2009
69,69,69,5261,5261,-23.3305397,-54.93153381,1738.925361,4/27/2009,27,4,2009
86,86,86,6279,6279,-18.86412239,-57.36368942,1772.805039,4/28/2009,28,4,2009
87,87,87,6280,6280,-20.254673,-57.62699127,1772.682878,4/28/2009,28,4,2009
91,91,91,6285,6285,-21.57255554,-57.92398071,1750.969135,4/28/2009,28,4,2009
113,113,113,8102,8102,-17.65121651,-55.1190834,1760.057342,4/30/2009,30,4,2009
114,114,114,8103,8103,-19.02340508,-55.43035889,1757.847656,4/30/2009,30,4,2009
115,115,115,8104,8104,-19.27571297,-53.94543076,1754.874299,4/30/2009,30,4,2009
116,116,116,8105,8105,-19.5625,-52.44865799,1771.449769,4/30/2009,30,4,2009
118,118,118,8107,8107,-20.91593742,-52.75825119,1765.475588,4/30/2009,30,4,2009
119,119,119,8108,8108,-20.61997032,-54.26947403,1756.558017,4/30/2009,30,4,2009
120,120,120,8109,8109,-20.34910393,-55.78580856,1762.133854,4/30/2009,30,4,2009
121,121,121,8110,8110,-21.72136307,-56.10903549,1757.146336,4/30/2009,30,4,2009
122,122,122,8111,8111,-21.97181892,-54.59483337,1751.88831,4/30/2009,30,4,2009
123,123,123,8112,8112,-22.26823807,-53.07139206,1758.141881,4/30/2009,30,4,2009
125,125,125,8114,8114,-23.32111359,-54.93083572,1750.52793,4/30/2009,30,4,2009
148,148,148,9096,9096,-18.88253021,-57.36757278,1766.037677,5/1/2009,1,5,2009
153,153,153,9103,9103,-20.21853065,-57.64928055,1759.836783,5/1/2009,1,5,2009
174,174,174,9989,9989,-19.56155777,-52.45420074,1740.888338,5/3/2009,3,5,2009
176,176,176,9991,9991,-21.70656204,-56.13014603,1753.453097,5/3/2009,3,5,2009
177,177,177,9992,9992,-23.31977463,-54.93656158,1745.754276,5/3/2009,3,5,2009
210,210,210,12012,12012,-19.21586227,-53.93842316,1777.132986,5/18/2009,18,5,2009
